Pfam	Header
PF00042	Q8GAZ4|reviewed|Flavohemoprotein|taxID:109791
PF00042	Q8HY34|reviewed|Hemoglobin subunit alpha|taxID:13616
PF00042	Q8T7J9|reviewed|Globin|taxID:2716527
PF00042	Q8UUR3|reviewed|Cytoglobin-1|taxID:7955
PF00042	Q8WWM9|reviewed|Cytoglobin|taxID:9606
PF00042	Q8Z4M3|reviewed|Flavohemoprotein|taxID:90370
PF00042	Q8ZCR0|reviewed|Flavohemoprotein|taxID:632
PF00042	Q90485|reviewed|Hemoglobin subunit beta-2|taxID:7955
PF00042	Q90486|reviewed|Hemoglobin subunit beta-1|taxID:7955
PF00042	Q90487|reviewed|Hemoglobin subunit alpha|taxID:7955
PF00042	Q90W04|reviewed|Neuroglobin|taxID:99883
PF00042	Q90YJ2|reviewed|Neuroglobin|taxID:7955
PF00042	Q91473|reviewed|Hemoglobin subunit beta|taxID:8030
PF00042	Q921A4|reviewed|Cytoglobin|taxID:10116
PF00042	Q93Y92|reviewed|Anaerobic nitrite reductase HB2|taxID:3635
PF00042	Q941P9|reviewed|Anaerobic nitrite reductase HB2|taxID:4081
PF00042	Q941Q2|reviewed|Anaerobic nitrite reductase HB2|taxID:3708
PF00042	Q947C5|reviewed|Anaerobic nitrite reductase HB1|taxID:3635
PF00042	Q94FT7|reviewed|Anaerobic nitrite reductase NSHB4|taxID:39947
PF00042	Q94FT8|reviewed|Anaerobic nitrite reductase NSHB3|taxID:39947
PF00042	Q95190|reviewed|Hemoglobin subunit epsilon|taxID:9590
PF00042	Q95238|reviewed|Hemoglobin subunit epsilon|taxID:34825
PF00042	Q98905|reviewed|Hemoglobin subunit beta|taxID:50047
PF00042	Q98TS0|reviewed|Hemoglobin subunit beta|taxID:8023
PF00042	Q99JA8|reviewed|Neuroglobin|taxID:10116
PF00042	Q9CX80|reviewed|Cytoglobin|taxID:10090
PF00042	Q9DEN8|reviewed|Myoglobin|taxID:202063
PF00042	Q9DEN9|reviewed|Myoglobin|taxID:36202
PF00042	Q9DEP0|reviewed|Myoglobin|taxID:3363650
PF00042	Q9DEP1|reviewed|Myoglobin|taxID:52239
PF00042	Q9DF25|reviewed|Hemoglobin subunit alpha-D|taxID:50047
PF00042	Q9DGI8|reviewed|Myoglobin|taxID:8226
PF00042	Q9DGI9|reviewed|Myoglobin|taxID:13676
PF00042	Q9DGJ0|reviewed|Myoglobin|taxID:8231
PF00042	Q9DGJ1|reviewed|Myoglobin|taxID:13604
PF00042	Q9DGJ2|reviewed|Myoglobin|taxID:8235
PF00042	Q9ER97|reviewed|Neuroglobin|taxID:10090
PF00042	Q9FEP8|reviewed|Leghemoglobin 3|taxID:34305
PF00042	Q9FVL0|reviewed|Anaerobic nitrite reductase MHB1|taxID:3879
PF00042	Q9FY42|reviewed|Anaerobic nitrite reductase GLB1|taxID:4577
PF00042	Q9GJS7|reviewed|Hemoglobin subunit gamma|taxID:9483
PF00042	Q9GLX4|reviewed|Hemoglobin subunit gamma-1|taxID:9523
PF00042	Q9I0H4|reviewed|Flavohemoprotein|taxID:208964
PF00042	Q9I9I3|reviewed|Globin-2|taxID:7757
PF00042	Q9KMY3|reviewed|Flavohemoprotein|taxID:243277
PF00042	Q9M593|reviewed|Anaerobic nitrite reductase GLB1|taxID:76912
PF00042	Q9M630|reviewed|Anaerobic nitrite reductase GLB0|taxID:3218
PF00042	Q9NPG2|reviewed|Neuroglobin|taxID:9606
PF00042	Q9PH91|reviewed|Flavohemoprotein|taxID:160492
PF00042	Q9PRL9|reviewed|Hemoglobin subunit alpha-1|taxID:35670
PF00042	Q9PVM1|reviewed|Hemoglobin subunit beta-B|taxID:8161
PF00042	Q9PVM2|reviewed|Hemoglobin subunit beta-A|taxID:8161
PF00042	Q9PVM3|reviewed|Hemoglobin subunit alpha-B|taxID:8161
PF00042	Q9PVM4|reviewed|Hemoglobin subunit alpha-A|taxID:8161
PF00042	Q9PVU6|reviewed|Hemoglobin embryonic subunit alpha|taxID:8090
PF00042	Q9QZ76|reviewed|Myoglobin|taxID:10116
PF00042	Q9RC40|reviewed|Flavohemoprotein|taxID:272558
PF00042	Q9RYR5|reviewed|Flavohemoprotein|taxID:243230
PF00042	Q9SAZ0|reviewed|Leghemoglobin Lb120-34|taxID:3888
PF00042	Q9SAZ1|reviewed|Leghemoglobin Lb120-8|taxID:3888
PF00042	Q9TS34|reviewed|Hemoglobin subunit alpha-2|taxID:9580
PF00042	Q9TS35|reviewed|Hemoglobin subunit alpha-1|taxID:9580
PF00042	Q9TSN7|reviewed|Hemoglobin subunit alpha-1|taxID:89462
PF00042	Q9TSN8|reviewed|Hemoglobin subunit alpha-2|taxID:89462
PF00042	Q9TSN9|reviewed|Hemoglobin subunit alpha-3|taxID:89462
PF00042	Q9TSP1|reviewed|Hemoglobin subunit beta|taxID:9555
PF00042	Q9TT33|reviewed|Hemoglobin subunit beta|taxID:33548
PF00042	Q9TVA3|reviewed|Hemoglobin subunit alpha-2|taxID:89252
PF00042	Q9UAG7|reviewed|Flavohemoprotein A|taxID:44689
PF00042	Q9URY5|reviewed|Flavohemoprotein|taxID:284812
PF00042	Q9XSE9|reviewed|Hemoglobin subunit alpha|taxID:9798
PF00042	Q9XSK1|reviewed|Hemoglobin subunit alpha-4|taxID:89462
PF00042	Q9XSN2|reviewed|Hemoglobin subunit alpha-1|taxID:9792
PF00042	Q9XSN3|reviewed|Hemoglobin subunit alpha-1|taxID:89252
PF00042	Q9YGW1|reviewed|Hemoglobin subunit beta|taxID:89020
PF00042	Q9YGW2|reviewed|Hemoglobin subunit alpha|taxID:89020
PF00042	R9RZK8|reviewed|Myoglobin|taxID:27602
PF00115	A6H4Q6|reviewed|Cytochrome c oxidase subunit 1|taxID:436907
PF00115	A9RAH5|reviewed|Cytochrome c oxidase subunit 1|taxID:284592
PF00115	A9RAH6|reviewed|Probable intron-encoded endonuclease aI3|taxID:284592
PF00115	A9RAH7|reviewed|Probable intron-encoded endonuclease aI2|taxID:284592
PF00115	B0FWC7|reviewed|Cytochrome c oxidase subunit 1|taxID:7159
PF00115	D9IA43|reviewed|Cbb3-type cytochrome c oxidase subunit CcoN1|taxID:316
PF00115	E0TW66|reviewed|Quinol oxidase subunit 1|taxID:655816
PF00115	O03167|reviewed|Cytochrome c oxidase subunit 1|taxID:7897
PF00115	O03198|reviewed|Cytochrome c oxidase subunit 1|taxID:9807
PF00115	O03515|reviewed|Cytochrome c oxidase subunit 1|taxID:8822
PF00115	O03521|reviewed|Cytochrome c oxidase subunit 1|taxID:30463
PF00115	O03524|reviewed|Cytochrome c oxidase subunit 1|taxID:8790
PF00115	O03539|reviewed|Cytochrome c oxidase subunit 1|taxID:30464
PF00115	O03546|reviewed|Cytochrome c oxidase subunit 1|taxID:8797
PF00115	O03554|reviewed|Cytochrome c oxidase subunit 1|taxID:30468
PF00115	O21042|reviewed|Cytochrome c oxidase subunit 1+2|taxID:44689
PF00115	O21079|reviewed|Cytochrome c oxidase subunit 1|taxID:7769
PF00115	O21327|reviewed|Cytochrome c oxidase subunit 1|taxID:9361
PF00115	O21399|reviewed|Cytochrome c oxidase subunit 1|taxID:8801
PF00115	O54069|reviewed|Probable cytochrome c oxidase subunit 1|taxID:272947
PF00115	O78681|reviewed|Cytochrome c oxidase subunit 1|taxID:7957
PF00115	O78749|reviewed|Cytochrome c oxidase subunit 1|taxID:9940
PF00115	O79403|reviewed|Cytochrome c oxidase subunit 1|taxID:7830
PF00115	O79429|reviewed|Cytochrome c oxidase subunit 1|taxID:9986
PF00115	O79548|reviewed|Cytochrome c oxidase subunit 1|taxID:56549
PF00115	O79672|reviewed|Cytochrome c oxidase subunit 1|taxID:44522
PF00115	O79876|reviewed|Cytochrome c oxidase subunit 1|taxID:9823
PF00115	O99041|reviewed|Cytochrome c oxidase subunit 1|taxID:9572
PF00115	O99252|reviewed|Cytochrome c oxidase subunit 1|taxID:5821
PF00115	O99255|reviewed|Cytochrome c oxidase subunit 1|taxID:5825
PF00115	O99818|reviewed|Cytochrome c oxidase subunit 1|taxID:34632
PF00115	P00395|reviewed|Cytochrome c oxidase subunit 1|taxID:9606
PF00115	P00396|reviewed|Cytochrome c oxidase subunit 1|taxID:9913
PF00115	P00397|reviewed|Cytochrome c oxidase subunit 1|taxID:10090
PF00115	P00398|reviewed|Cytochrome c oxidase subunit 1|taxID:8355
PF00115	P00399|reviewed|Cytochrome c oxidase subunit 1|taxID:7227
PF00115	P00400|reviewed|Cytochrome c oxidase subunit 1|taxID:7245
PF00115	P00401|reviewed|Cytochrome c oxidase subunit 1|taxID:559292
PF00115	P00402|reviewed|Cytochrome c oxidase subunit 1|taxID:162425
PF00115	P03877|reviewed|Intron-encoded DNA endonuclease aI3|taxID:559292
PF00115	P03878|reviewed|Intron-encoded DNA endonuclease aI4|taxID:559292
PF00115	P03945|reviewed|Cytochrome c oxidase subunit 1|taxID:367110
PF00115	P04371|reviewed|Cytochrome c oxidase subunit 1|taxID:5702
PF00115	P05489|reviewed|Cytochrome c oxidase subunit 1|taxID:5888
PF00115	P05502|reviewed|Cytochrome c oxidase subunit 1|taxID:4558
PF00115	P05503|reviewed|Cytochrome c oxidase subunit 1|taxID:10116
PF00115	P07506|reviewed|Cytochrome c oxidase subunit 1|taxID:3847
PF00115	P07657|reviewed|Cytochrome c oxidase subunit 1|taxID:284812
PF00115	P08305|reviewed|Cytochrome c oxidase subunit 1-alpha|taxID:266
PF00115	P08681|reviewed|Cytochrome c oxidase subunit 1|taxID:3055
PF00115	P08742|reviewed|Cytochrome c oxidase subunit 1|taxID:4577
PF00115	P08743|reviewed|Cytochrome c oxidase subunit 1|taxID:3950
PF00115	P0ABI8|reviewed|Cytochrome bo(3) ubiquinol oxidase subunit 1|taxID:83333
PF00115	P0ABI9|reviewed|Cytochrome bo(3) ubiquinol oxidase subunit 1|taxID:199310
PF00115	P0ABJ0|reviewed|Cytochrome bo(3) ubiquinol oxidase subunit 1|taxID:83334
PF00115	P0C8K9|reviewed|Cytochrome c oxidase subunit 1|taxID:237561
PF00115	P11947|reviewed|Cytochrome c oxidase subunit 1|taxID:5908
PF00115	P12700|reviewed|Cytochrome c oxidase subunit 1|taxID:7656
PF00115	P12786|reviewed|Cytochrome c oxidase subunit 1|taxID:3888
PF00115	P14544|reviewed|Cytochrome c oxidase subunit 1|taxID:5689
PF00115	P14578|reviewed|Cytochrome c oxidase subunit 1|taxID:39947
PF00115	P15544|reviewed|Cytochrome c oxidase subunit 1|taxID:7668
PF00115	P16262|reviewed|Cytochrome c oxidase subunit 1|taxID:2334
PF00115	P18943|reviewed|Cytochrome c oxidase subunit 1|taxID:9031
PF00115	P20374|reviewed|Cytochrome c oxidase subunit 1|taxID:7469
PF00115	P20386|reviewed|Cytochrome c oxidase subunit 1|taxID:284590
PF00115	P20681|reviewed|Cytochrome c oxidase subunit 1|taxID:515849
PF00115	P24010|reviewed|Cytochrome c oxidase subunit 1|taxID:224308
PF00115	P24794|reviewed|Cytochrome c oxidase subunit 1|taxID:161934
PF00115	P24881|reviewed|Cytochrome c oxidase subunit 1|taxID:6253
PF00115	P24893|reviewed|Cytochrome c oxidase subunit 1|taxID:6239
PF00115	P24983|reviewed|Cytochrome c oxidase subunit 1|taxID:9770
PF00115	P24984|reviewed|Cytochrome c oxidase subunit 1|taxID:93934
PF00115	P24985|reviewed|Cytochrome c oxidase subunit 1|taxID:7962
PF00115	P25001|reviewed|Cytochrome c oxidase subunit 1|taxID:7612
PF00115	P26856|reviewed|Cytochrome c oxidase subunit 1|taxID:3197
PF00115	P29643|reviewed|Cytochrome c oxidase subunit 1|taxID:7924
PF00115	P29644|reviewed|Cytochrome c oxidase subunit 1|taxID:7917
PF00115	P29645|reviewed|Cytochrome c oxidase subunit 1|taxID:13074
PF00115	P29646|reviewed|Cytochrome c oxidase subunit 1|taxID:8249
PF00115	P29647|reviewed|Cytochrome c oxidase subunit 1|taxID:7918
PF00115	P29648|reviewed|Cytochrome c oxidase subunit 1|taxID:7932
PF00115	P29649|reviewed|Cytochrome c oxidase subunit 1|taxID:8276
PF00115	P29650|reviewed|Cytochrome c oxidase subunit 1|taxID:7913
PF00115	P29651|reviewed|Cytochrome c oxidase subunit 1|taxID:8291
PF00115	P29652|reviewed|Cytochrome c oxidase subunit 1|taxID:8182
PF00115	P29653|reviewed|Cytochrome c oxidase subunit 1|taxID:8032
PF00115	P29654|reviewed|Cytochrome c oxidase subunit 1|taxID:7910
PF00115	P31833|reviewed|Cytochrome c oxidase subunit 1|taxID:224911
PF00115	P33504|reviewed|Cytochrome c oxidase subunit 1|taxID:7166
PF00115	P33517|reviewed|Cytochrome c oxidase subunit 1|taxID:1063
PF00115	P33518|reviewed|Cytochrome c oxidase polypeptide 1|taxID:64091
PF00115	P34188|reviewed|Cytochrome c oxidase subunit 1|taxID:7980
PF00115	P34838|reviewed|Cytochrome c oxidase subunit 1|taxID:7165
PF00115	P34956|reviewed|Quinol oxidase subunit 1|taxID:224308
PF00115	P38595|reviewed|Cytochrome c oxidase subunit 1|taxID:9711
PF00115	P39481|reviewed|Quinol oxidase subunit 1/3|taxID:330779
PF00115	P41293|reviewed|Cytochrome c oxidase subunit 1|taxID:9771
PF00115	P41310|reviewed|Cytochrome c oxidase subunit 1|taxID:9267
PF00115	P41774|reviewed|Cytochrome c oxidase subunit 1|taxID:6550
PF00115	P48170|reviewed|Cytochrome c oxidase subunit 1|taxID:8022
PF00115	P48659|reviewed|Cytochrome c oxidase subunit 1|taxID:9796
PF00115	P48866|reviewed|Cytochrome c oxidase subunit 1|taxID:2769
PF00115	P48867|reviewed|Cytochrome c oxidase subunit 1|taxID:2771
PF00115	P48868|reviewed|Cytochrome c oxidase subunit 1|taxID:1156965
PF00115	P48887|reviewed|Cytochrome c oxidase subunit 1|taxID:42349
PF00115	P48888|reviewed|Cytochrome c oxidase subunit 1|taxID:9685
PF00115	P50656|reviewed|Cytochrome c oxidase subunit 1|taxID:8839
PF00115	P50668|reviewed|Cytochrome c oxidase subunit 1|taxID:2911890
PF00115	P50669|reviewed|Cytochrome c oxidase subunit 1|taxID:7141
PF00115	P50671|reviewed|Cytochrome c oxidase subunit 1|taxID:27543
PF00115	P50676|reviewed|Cytochrome c oxidase subunit 1|taxID:32053
PF00115	P57543|reviewed|Cytochrome bo(3) ubiquinol oxidase subunit 1|taxID:107806
PF00115	P60620|reviewed|Cytochrome c oxidase subunit 1|taxID:3702
PF00115	P60621|reviewed|Cytochrome c oxidase subunit 1|taxID:3726
PF00115	P62514|reviewed|Cytochrome c oxidase subunit 1|taxID:284811
PF00115	P63853|reviewed|Probable cytochrome c oxidase subunit 1|taxID:233413
PF00115	P67793|reviewed|Cytochrome c oxidase subunit 1|taxID:27541
PF00115	P67794|reviewed|Cytochrome c oxidase subunit 1|taxID:27542
PF00115	P68539|reviewed|Cytochrome c oxidase subunit 1|taxID:4565
PF00115	P68540|reviewed|Cytochrome c oxidase subunit 1|taxID:4493
PF00115	P80440|reviewed|Cytochrome c oxidase subunit 1|taxID:28583
PF00115	P92477|reviewed|Cytochrome c oxidase subunit 1|taxID:9793
PF00115	P92661|reviewed|Cytochrome c oxidase subunit 1|taxID:9319
PF00115	P92692|reviewed|Cytochrome c oxidase subunit 1|taxID:9601
PF00115	P98000|reviewed|Alternative cytochrome c oxidase subunit 1|taxID:224911
PF00115	P98001|reviewed|Cytochrome c oxidase subunit 1|taxID:27291
PF00115	P98002|reviewed|Cytochrome c oxidase subunit 1-beta|taxID:266
PF00115	P98003|reviewed|Cytochrome c oxidase subunit 1|taxID:5657
PF00115	P98004|reviewed|Quinol oxidase subunit 1|taxID:330779
PF00115	P98005|reviewed|Cytochrome c oxidase polypeptide I+III|taxID:300852
PF00115	P98008|reviewed|Nitric oxide reductase subunit B|taxID:316
PF00115	P98009|reviewed|Ubiquinol oxidase subunit 1|taxID:435
PF00115	P98055|reviewed|Cytochrome c oxidase subunit 1 homolog|taxID:176300
PF00115	P98056|reviewed|Cytochrome c oxidase subunit 1 homolog|taxID:438753
PF00115	P98057|reviewed|Probable cytochrome c oxidase subunit 1|taxID:224911
PF00115	P98059|reviewed|Cytochrome c oxidase subunit 1|taxID:1061
PF00115	P9WP70|reviewed|Probable cytochrome c oxidase subunit 1|taxID:83331
PF00115	P9WP71|reviewed|Probable cytochrome c oxidase subunit 1|taxID:83332
PF00115	Q00527|reviewed|Cytochrome c oxidase subunit 1|taxID:9720
PF00115	Q01555|reviewed|Cytochrome c oxidase subunit 1|taxID:5551
PF00115	Q02211|reviewed|Cytochrome c oxidase subunit 1|taxID:4788
PF00115	Q02766|reviewed|Cytochrome c oxidase subunit 1|taxID:5833
PF00115	Q03073|reviewed|Cytochrome c oxidase subunit 1 homolog, bacteroid|taxID:224911
PF00115	Q04440|reviewed|Cytochrome c oxidase subunit 1|taxID:398511
PF00115	Q05143|reviewed|Cytochrome c oxidase subunit 1|taxID:3111
PF00115	Q05572|reviewed|Cytochrome c oxidase subunit 1 homolog, bacteroid|taxID:266834
PF00115	Q06473|reviewed|Cytochrome c oxidase subunit 1|taxID:1111708
PF00115	Q07434|reviewed|Cytochrome c oxidase subunit 1|taxID:5791
PF00115	Q08855|reviewed|Cytochrome c oxidase subunit 1|taxID:384
PF00115	Q09333|reviewed|Cytochrome c oxidase subunit 1|taxID:27820
PF00115	Q0H8X8|reviewed|Probable intron-encoded endonuclease aI2|taxID:5270
PF00115	Q0H8Y0|reviewed|Probable intron-encoded endonuclease aI4|taxID:5270
PF00115	Q0H8Y1|reviewed|Probable intron-encoded endonuclease aI5|taxID:5270
PF00115	Q0H8Y2|reviewed|Probable intron-encoded endonuclease aI7|taxID:5270
PF00115	Q0H8Y3|reviewed|Probable intron-encoded endonuclease aI8|taxID:5270
PF00115	Q0H8Y4|reviewed|Cytochrome c oxidase subunit 1|taxID:5270
PF00115	Q1HKA1|reviewed|Cytochrome c oxidase subunit 1|taxID:9612
PF00115	Q1RI42|reviewed|Probable cytochrome c oxidase subunit 1|taxID:336407
PF00115	Q2FI18|reviewed|Probable quinol oxidase subunit 1|taxID:367830
PF00115	Q2FZK0|reviewed|Probable quinol oxidase subunit 1|taxID:93061
PF00115	Q2I3H2|reviewed|Cytochrome c oxidase subunit 1|taxID:9783
PF00115	Q2LCQ6|reviewed|Cytochrome c oxidase subunit 1+2|taxID:361072
PF00115	Q2YX15|reviewed|Probable quinol oxidase subunit 1|taxID:273036
PF00115	Q33375|reviewed|Cytochrome c oxidase subunit 1|taxID:32534
PF00115	Q33439|reviewed|Cytochrome c oxidase subunit 1|taxID:34344
PF00115	Q33820|reviewed|Cytochrome c oxidase subunit 1|taxID:7594
PF00115	Q34345|reviewed|Cytochrome c oxidase subunit 1|taxID:7226
PF00115	Q34388|reviewed|Cytochrome c oxidase subunit 1|taxID:7240
PF00115	Q34391|reviewed|Cytochrome c oxidase subunit 1|taxID:7238
PF00115	Q34800|reviewed|Cytochrome c oxidase subunit 1|taxID:9590
PF00115	Q34941|reviewed|Cytochrome c oxidase subunit 1|taxID:6398
PF00115	Q35101|reviewed|Cytochrome c oxidase subunit 1|taxID:6116
PF00115	Q35536|reviewed|Cytochrome c oxidase subunit 1|taxID:7757
PF00115	Q36097|reviewed|Cytochrome c oxidase subunit 1|taxID:5875
PF00115	Q36347|reviewed|Cytochrome c oxidase subunit 1|taxID:9925
PF00115	Q36421|reviewed|Cytochrome c oxidase subunit 1|taxID:7004
PF00115	Q36452|reviewed|Cytochrome c oxidase subunit 1|taxID:9258
PF00115	Q36724|reviewed|Cytochrome c oxidase subunit 1|taxID:6973
PF00115	Q36775|reviewed|Cytochrome c oxidase subunit 1|taxID:8049
PF00115	Q37370|reviewed|Cytochrome c oxidase subunit 1+2|taxID:5755
PF00115	Q37705|reviewed|Cytochrome c oxidase subunit 1|taxID:6661
PF00115	Q38PS0|reviewed|Cytochrome c oxidase subunit 1|taxID:37349
PF00115	Q49WI3|reviewed|Probable quinol oxidase subunit 1|taxID:342451
PF00115	Q4JQI5|reviewed|Cytochrome c oxidase subunit 1|taxID:99883
PF00115	Q4L564|reviewed|Probable quinol oxidase subunit 1|taxID:279808
PF00115	Q4UJ69|reviewed|Cytochrome c oxidase subunit 1|taxID:5874
PF00115	Q4ULU5|reviewed|Probable cytochrome c oxidase subunit 1|taxID:315456
PF00115	Q56408|reviewed|Cytochrome c oxidase subunit 1|taxID:274
PF00115	Q59647|reviewed|Nitric oxide reductase subunit B|taxID:208964
PF00115	Q599A1|reviewed|Cytochrome c oxidase subunit 1|taxID:9768
PF00115	Q5HH24|reviewed|Probable quinol oxidase subunit 1|taxID:93062
PF00115	Q5HQB0|reviewed|Probable quinol oxidase subunit 1|taxID:176279
PF00115	Q5SJ79|reviewed|Cytochrome c oxidase subunit 1|taxID:300852
PF00115	Q5Y4Q8|reviewed|Cytochrome c oxidase subunit 1|taxID:30521
PF00115	Q5YRP8|reviewed|Probable cytochrome c oxidase subunit 1-alpha|taxID:247156
PF00115	Q5Z0K2|reviewed|Probable cytochrome c oxidase subunit 1-beta|taxID:247156
PF00115	Q6EGH7|reviewed|Cytochrome c oxidase subunit 1|taxID:35668
PF00115	Q6EGH8|reviewed|Cytochrome c oxidase subunit 1|taxID:72448
PF00115	Q6EGH9|reviewed|Cytochrome c oxidase subunit 1|taxID:32529
PF00115	Q6EGI0|reviewed|Cytochrome c oxidase subunit 1|taxID:13628
PF00115	Q6EGI2|reviewed|Cytochrome c oxidase subunit 1|taxID:249182
PF00115	Q6EGI3|reviewed|Cytochrome c oxidase subunit 1|taxID:3370058
PF00115	Q6EGI4|reviewed|Cytochrome c oxidase subunit 1|taxID:35666
PF00115	Q6EGI5|reviewed|Cytochrome c oxidase subunit 1|taxID:35663
PF00115	Q6EGJ0|reviewed|Cytochrome c oxidase subunit 1|taxID:164517
PF00115	Q6EGJ1|reviewed|Cytochrome c oxidase subunit 1|taxID:76342
PF00115	Q6EMS9|reviewed|Cytochrome c oxidase subunit 1|taxID:9915
PF00115	Q6GAF3|reviewed|Probable quinol oxidase subunit 1|taxID:282459
PF00115	Q6GI24|reviewed|Probable quinol oxidase subunit 1|taxID:282458
PF00115	Q6NFM3|reviewed|Cytochrome c oxidase subunit 1|taxID:257309
PF00115	Q73VC3|reviewed|Probable cytochrome c oxidase subunit 1|taxID:262316
PF00115	Q79VD7|reviewed|Cytochrome c oxidase subunit 1|taxID:196627
PF00115	Q7A182|reviewed|Probable quinol oxidase subunit 1|taxID:196620
PF00115	Q7A699|reviewed|Probable quinol oxidase subunit 1|taxID:158879
PF00115	Q7GEN7|reviewed|Cytochrome c oxidase subunit 1|taxID:9580
PF00115	Q828X4|reviewed|Putative cytochrome c oxidase subunit 1-beta|taxID:227882
PF00115	Q82AK9|reviewed|Probable cytochrome c oxidase subunit 1-alpha|taxID:227882
PF00115	Q85QA3|reviewed|Cytochrome c oxidase subunit 1|taxID:284593
PF00115	Q89AA4|reviewed|Cytochrome bo(3) ubiquinol oxidase subunit 1|taxID:224915
PF00115	Q8CPP7|reviewed|Probable quinol oxidase subunit 1|taxID:176280
PF00115	Q8FMT1|reviewed|Cytochrome c oxidase subunit 1|taxID:196164
PF00115	Q8K994|reviewed|Cytochrome bo(3) ubiquinol oxidase subunit 1|taxID:198804
PF00115	Q8LX30|reviewed|Cytochrome c oxidase subunit 1|taxID:9447
PF00115	Q8W9N4|reviewed|Cytochrome c oxidase subunit 1|taxID:29137
PF00115	Q8WEW3|reviewed|Cytochrome c oxidase subunit 1|taxID:6610
PF00115	Q8WEW4|reviewed|Cytochrome c oxidase subunit 1|taxID:1051067
PF00115	Q92I67|reviewed|Probable cytochrome c oxidase subunit 1|taxID:272944
PF00115	Q94WR7|reviewed|Cytochrome c oxidase subunit 1|taxID:30397
PF00115	Q957T2|reviewed|Cytochrome c oxidase subunit 1|taxID:158019
PF00115	Q95911|reviewed|Cytochrome c oxidase subunit 1|taxID:49895
PF00115	Q96000|reviewed|Cytochrome c oxidase subunit 1|taxID:6579
PF00115	Q96062|reviewed|Cytochrome c oxidase subunit 1|taxID:9809
PF00115	Q99V37|reviewed|Probable quinol oxidase subunit 1|taxID:158878
PF00115	Q9B229|reviewed|Cytochrome c oxidase subunit 1|taxID:153783
PF00115	Q9B6E7|reviewed|Cytochrome c oxidase subunit 1|taxID:284591
PF00115	Q9B840|reviewed|Cytochrome c oxidase subunit 1|taxID:29057
PF00115	Q9CBQ5|reviewed|Probable cytochrome c oxidase subunit 1|taxID:272631
PF00115	Q9G6J1|reviewed|Cytochrome c oxidase subunit 1|taxID:6645
PF00115	Q9I426|reviewed|Cytochrome bo(3) ubiquinol oxidase subunit 1|taxID:208964
PF00115	Q9K451|reviewed|Putative cytochrome c oxidase subunit 1-beta|taxID:100226
PF00115	Q9MIY8|reviewed|Cytochrome c oxidase subunit 1|taxID:7955
PF00115	Q9T9W1|reviewed|Cytochrome c oxidase subunit 1|taxID:9598
PF00115	Q9T9X0|reviewed|Cytochrome c oxidase subunit 1|taxID:9597
PF00115	Q9TA27|reviewed|Cytochrome c oxidase subunit 1|taxID:9785
PF00115	Q9TGD8|reviewed|Cytochrome c oxidase subunit 1|taxID:78439
PF00115	Q9TGE6|reviewed|Cytochrome c oxidase subunit 1|taxID:6618
PF00115	Q9WWR2|reviewed|Cytochrome bo(3) ubiquinol oxidase subunit 1|taxID:303
PF00115	Q9X813|reviewed|Probable cytochrome c oxidase subunit 1-alpha|taxID:100226
PF00115	Q9YDX6|reviewed|Heme-copper oxidase subunit I+III|taxID:272557
PF00115	Q9ZDE9|reviewed|Uncharacterized protein RP382|taxID:272947
PF00115	Q9ZXY2|reviewed|Cytochrome c oxidase subunit 1|taxID:9557
PF00115	Q9ZZ08|reviewed|Cytochrome c oxidase subunit 1|taxID:61716
PF00115	Q9ZZ52|reviewed|Cytochrome c oxidase subunit 1|taxID:7797
PF00115	Q9ZZ64|reviewed|Cytochrome c oxidase subunit 1|taxID:9615
PF00115	Q9ZZM6|reviewed|Cytochrome c oxidase subunit 1|taxID:8030
PF00115	Q9ZZX1|reviewed|Intron-encoded DNA endonuclease aI5 alpha|taxID:559292
PF00115	Q9ZZY9|reviewed|Cytochrome c oxidase subunit 1|taxID:9833
PF00116	A6H4Q5|reviewed|Cytochrome c oxidase subunit 2|taxID:436907
PF00116	A9RAG1|reviewed|Cytochrome c oxidase subunit 2|taxID:284592
PF00116	E0TW67|reviewed|Quinol oxidase subunit 2|taxID:655816
PF00116	O03848|reviewed|Cytochrome c oxidase subunit 2|taxID:7897
PF00116	O03851|reviewed|Cytochrome c oxidase subunit 2|taxID:9807
PF00116	O03889|reviewed|Cytochrome c oxidase subunit 2|taxID:8822
PF00116	O03890|reviewed|Cytochrome c oxidase subunit 2|taxID:30463
PF00116	O03891|reviewed|Cytochrome c oxidase subunit 2|taxID:8790
PF00116	O03892|reviewed|Cytochrome c oxidase subunit 2|taxID:30464
PF00116	O03893|reviewed|Cytochrome c oxidase subunit 2|taxID:8797
PF00116	O03895|reviewed|Cytochrome c oxidase subunit 2|taxID:30468
PF00116	O21042|reviewed|Cytochrome c oxidase subunit 1+2|taxID:44689
PF00116	O21400|reviewed|Cytochrome c oxidase subunit 2|taxID:8801
PF00116	O47428|reviewed|Cytochrome c oxidase subunit 2|taxID:7739
PF00116	O47496|reviewed|Cytochrome c oxidase subunit 2|taxID:6116
PF00116	O47667|reviewed|Cytochrome c oxidase subunit 2|taxID:68723
PF00116	O47668|reviewed|Cytochrome c oxidase subunit 2|taxID:68730
PF00116	O47669|reviewed|Cytochrome c oxidase subunit 2|taxID:68724
PF00116	O47670|reviewed|Cytochrome c oxidase subunit 2|taxID:68728
PF00116	O47671|reviewed|Cytochrome c oxidase subunit 2|taxID:69045
